Date,Open,High,Low,Close,Volume,Adj Close
2014-05-12,147.86,148.76,146.43,147.34,2628300,146.17
2014-05-09,144.18,149.50,141.93,148.81,4800400,147.62
2014-05-08,152.65,156.39,151.88,151.99,1647600,150.78
2014-05-07,154.05,154.36,150.41,152.56,994700,151.34
2014-05-06,155.15,156.15,153.63,153.89,1017200,152.66
2014-05-05,154.41,155.99,152.34,155.86,797000,154.62
2014-05-02,153.75,156.99,153.46,155.00,971600,153.76
2014-05-01,151.59,153.67,150.38,153.40,1035800,152.18
2014-04-30,151.96,152.22,150.05,151.37,852000,150.16
2014-04-29,151.65,152.83,150.77,152.31,867000,151.10
2014-04-28,153.83,154.95,149.01,151.47,1317900,150.26
2014-04-25,154.55,155.01,152.97,153.09,732200,151.87
2014-04-24,154.37,154.89,152.25,154.61,888600,153.38
2014-04-23,155.17,155.70,153.79,153.84,700500,152.61
2014-04-22,154.91,155.86,154.01,154.86,1087100,153.63
2014-04-21,154.53,155.13,153.60,153.92,422300,152.69
2014-04-17,154.55,156.08,154.14,154.38,642900,153.15
2014-04-16,156.45,157.53,154.62,155.05,585100,153.81
2014-04-15,154.76,155.97,152.79,155.34,737800,154.10
2014-04-14,154.20,155.27,153.57,154.39,675300,153.16
2014-04-11,152.82,154.49,152.66,153.55,918000,152.33
2014-04-10,157.65,158.29,153.75,153.79,783500,152.56
2014-04-09,154.58,157.89,154.58,157.44,713000,156.18
2014-04-08,155.85,156.56,154.39,155.92,1298200,154.68
2014-04-07,158.32,158.75,154.51,155.58,1237100,154.34
2014-04-04,162.92,163.35,158.31,158.64,1011300,157.38
2014-04-03,164.17,164.67,161.99,162.68,654100,161.38
2014-04-02,163.77,164.75,162.73,163.41,774300,162.11
2014-04-01,161.10,163.72,160.99,163.72,954600,162.41
2014-03-31,159.78,161.21,159.06,160.93,867700,159.65
2014-03-28,157.36,159.18,157.09,158.24,734600,156.98
2014-03-27,156.24,158.53,156.24,156.98,760800,155.73
2014-03-26,157.50,160.24,156.48,156.48,1229300,155.23
2014-03-25,160.81,160.85,155.85,156.29,1477500,154.60
2014-03-24,161.43,162.26,158.82,160.01,864100,158.28
2014-03-21,162.12,163.00,160.13,161.04,1027000,159.30
2014-03-20,161.12,161.63,159.21,160.47,637600,158.73
2014-03-19,163.99,163.99,160.31,161.26,720800,159.51
2014-03-18,163.00,164.50,161.77,163.80,945600,162.03
2014-03-17,161.15,162.03,160.04,161.51,744800,159.76
2014-03-14,159.39,161.21,159.39,160.08,796400,158.35
